run,f_center_hz,bandwidth_hz
1,1000.00,222.37
2,1000.00,239.90
3,1000.00,229.62
4,1000.00,231.38
5,1000.00,235.46
6,1000.00,255.98
7,1000.00,264.67
8,1000.00,254.63
9,1000.00,218.28
10,1096.48,256.87
11,1000.00,244.99
12,1000.00,211.61
13,1000.00,210.89
14,1000.00,219.03
15,1000.00,249.45
16,1000.00,213.46
17,1096.48,257.43
18,1000.00,224.49
19,1000.00,235.60
20,1000.00,261.22
21,1000.00,222.54
22,1000.00,218.19
23,1000.00,225.30
24,1000.00,265.60
25,912.01,234.53
26,1000.00,221.65
27,1000.00,220.90
28,1000.00,244.49
29,1000.00,247.03
30,912.01,227.30
31,912.01,239.76
32,1000.00,215.49
33,1000.00,222.57
34,1000.00,221.73
35,1000.00,219.84
36,1000.00,215.53
37,1000.00,217.75
38,1000.00,255.46
39,1000.00,231.01
40,1000.00,215.21
41,1000.00,225.58
42,1000.00,215.65
43,1000.00,211.18
44,1000.00,226.06
45,1000.00,224.88
46,1000.00,220.03
47,1096.48,265.63
48,1000.00,224.20
49,1000.00,237.32
50,1000.00,228.06
51,1000.00,214.29
52,1000.00,229.33
53,1096.48,256.30
54,1000.00,212.28
55,1000.00,228.06
56,1000.00,225.12
57,1000.00,215.20
58,1000.00,240.00
59,1000.00,245.93
60,1000.00,218.78
61,1000.00,210.72
62,1000.00,235.10
63,1000.00,224.87
64,1000.00,210.48
65,1000.00,214.26
66,1000.00,213.77
67,1000.00,232.32
68,1000.00,250.24
69,1000.00,219.52
70,1000.00,214.18
71,1000.00,213.24
72,1000.00,214.43
73,1000.00,253.01
74,1000.00,213.29
75,1000.00,240.63
76,1000.00,236.66
77,1000.00,233.73
78,1000.00,245.81
79,1000.00,260.92
80,1000.00,217.73
81,1096.48,250.81
82,1000.00,228.55
83,1096.48,247.21
84,1000.00,231.35
85,1000.00,221.88
86,1000.00,221.51
87,1000.00,233.59
88,1000.00,249.54
89,1000.00,220.51
90,1096.48,238.00
91,1000.00,238.61
92,1000.00,213.74
93,1000.00,218.16
94,1000.00,238.15
95,1000.00,232.01
96,1000.00,222.66
97,1000.00,218.01
98,1000.00,242.03
99,1000.00,219.51
100,912.01,215.34