"ac1.frequency";"ac1.rs_val";"r ngspice/ac1.ac.gain";"i ngspice/ac1.ac.gain"
1;1000;-327.616;0
1.14505;1000;-327.616;0
1.31113;1000;-327.616;0
1.50131;1000;-327.616;0
1.71907;1000;-327.616;0
1.96842;1000;-327.616;0
2.25393;1000;-327.616;0
2.58086;1000;-327.616;0
2.95521;1000;-327.616;0
3.38386;1000;-327.616;0
3.87468;1000;-327.616;0
4.43669;1000;-327.616;0
5.08022;1000;-327.616;0
5.81709;1000;-327.616;0
6.66085;1000;-327.617;0
7.62699;1000;-327.617;0
8.73326;1000;-327.618;0
10;1000;-327.618;0
11.4505;1000;-327.619;0
13.1113;1000;-327.62;0
15.0131;1000;-327.621;0
17.1907;1000;-327.623;0
19.6842;1000;-327.626;0
22.5393;1000;-327.629;0
25.8086;1000;-327.633;0
29.5521;1000;-327.638;0
33.8386;1000;-327.646;0
38.7468;1000;-327.655;0
44.3669;1000;-327.667;0
50.8022;1000;-327.683;0
58.1709;1000;-327.704;0
66.6085;1000;-327.731;0
76.2699;1000;-327.767;0
87.3326;1000;-327.813;0
100;1000;-327.873;0
114.505;1000;-327.952;0
131.113;1000;-328.054;0
150.131;1000;-328.186;0
171.907;1000;-328.355;0
196.842;1000;-328.573;0
225.393;1000;-328.852;0
258.086;1000;-329.205;0
295.521;1000;-329.653;0
338.386;1000;-330.217;0
387.468;1000;-330.926;0
443.669;1000;-331.82;0
508.022;1000;-332.962;0
581.709;1000;-334.453;0
666.085;1000;-336.492;0
762.699;1000;-339.537;0
873.326;1000;-345.074;0
1000;1000;-384.828;0
1145.05;1000;-343.735;0
1311.13;1000;-337.108;0
1501.31;1000;-332.917;0
1719.07;1000;-329.717;0
1968.42;1000;-327.057;0
2253.93;1000;-324.744;0
2580.86;1000;-322.674;0
2955.21;1000;-320.789;0
3383.86;1000;-319.048;0
3874.68;1000;-317.423;0
4436.69;1000;-315.891;0
5080.22;1000;-314.435;0
5817.09;1000;-313.039;0
6660.85;1000;-311.692;0
7626.99;1000;-310.383;0
8733.26;1000;-309.104;0
10000;1000;-307.848;0
11450.5;1000;-306.611;0
13111.3;1000;-305.388;0
15013.1;1000;-304.176;0
17190.7;1000;-302.973;0
19684.2;1000;-301.776;0
22539.3;1000;-300.584;0
25808.6;1000;-299.397;0
29552.1;1000;-298.213;0
33838.6;1000;-297.031;0
38746.8;1000;-295.852;0
44366.9;1000;-294.675;0
50802.2;1000;-293.501;0
58170.9;1000;-292.328;0
66608.5;1000;-291.158;0
76269.9;1000;-289.991;0
87332.6;1000;-288.828;0
100000;1000;-287.669;0
114505;1000;-286.515;0
131113;1000;-285.369;0
150131;1000;-284.23;0
171907;1000;-283.102;0
196842;1000;-281.986;0
225393;1000;-280.883;0
258086;1000;-279.797;0
295521;1000;-278.727;0
338386;1000;-277.675;0
387468;1000;-276.638;0
443669;1000;-275.615;0
508022;1000;-274.6;0
581709;1000;-273.59;0
666085;1000;-272.577;0
762699;1000;-271.556;0
873326;1000;-270.524;0
1e+06;1000;-269.475;0
1;1000;-327.617;0
1.14505;1000;-327.617;0
1.31113;1000;-327.617;0
1.50131;1000;-327.617;0
1.71907;1000;-327.617;0
1.96842;1000;-327.617;0
2.25393;1000;-327.617;0
2.58086;1000;-327.617;0
2.95521;1000;-327.617;0
3.38386;1000;-327.617;0
3.87468;1000;-327.617;0
4.43669;1000;-327.617;0
5.08022;1000;-327.617;0
5.81709;1000;-327.617;0
6.66085;1000;-327.618;0
7.62699;1000;-327.618;0
8.73326;1000;-327.619;0
10;1000;-327.619;0
11.4505;1000;-327.62;0
13.1113;1000;-327.621;0
15.0131;1000;-327.622;0
17.1907;1000;-327.624;0
19.6842;1000;-327.627;0
22.5393;1000;-327.63;0
25.8086;1000;-327.634;0
29.5521;1000;-327.639;0
33.8386;1000;-327.646;0
38.7468;1000;-327.656;0
44.3669;1000;-327.668;0
50.8022;1000;-327.684;0
58.1709;1000;-327.705;0
66.6085;1000;-327.732;0
76.2699;1000;-327.768;0
87.3326;1000;-327.814;0
100;1000;-327.874;0
114.505;1000;-327.953;0
131.113;1000;-328.055;0
150.131;1000;-328.187;0
171.907;1000;-328.357;0
196.842;1000;-328.575;0
225.393;1000;-328.853;0
258.086;1000;-329.207;0
295.521;1000;-329.654;0
338.386;1000;-330.218;0
387.468;1000;-330.927;0
443.669;1000;-331.822;0
508.022;1000;-332.964;0
581.709;1000;-334.455;0
666.085;1000;-336.495;0
762.699;1000;-339.539;0
873.326;1000;-345.076;0
1000;1000;-384.828;0
1145.05;1000;-343.738;0
1311.13;1000;-337.111;0
1501.31;1000;-332.921;0
1719.07;1000;-329.72;0
1968.42;1000;-327.061;0
2253.93;1000;-324.748;0
2580.86;1000;-322.678;0
2955.21;1000;-320.793;0
3383.86;1000;-319.053;0
3874.68;1000;-317.428;0
4436.69;1000;-315.896;0
5080.22;1000;-314.44;0
5817.09;1000;-313.045;0
6660.85;1000;-311.697;0
7626.99;1000;-310.388;0
8733.26;1000;-309.109;0
10000;1000;-307.854;0
11450.5;1000;-306.617;0
13111.3;1000;-305.394;0
15013.1;1000;-304.182;0
17190.7;1000;-302.979;0
19684.2;1000;-301.783;0
22539.3;1000;-300.592;0
25808.6;1000;-299.405;0
29552.1;1000;-298.221;0
33838.6;1000;-297.041;0
38746.8;1000;-295.863;0
44366.9;1000;-294.688;0
50802.2;1000;-293.515;0
58170.9;1000;-292.346;0
66608.5;1000;-291.179;0
76269.9;1000;-290.017;0
87332.6;1000;-288.859;0
100000;1000;-287.707;0
114505;1000;-286.563;0
131113;1000;-285.428;0
150131;1000;-284.303;0
171907;1000;-283.191;0
196842;1000;-282.094;0
225393;1000;-281.013;0
258086;1000;-279.949;0
295521;1000;-278.901;0
338386;1000;-277.869;0
387468;1000;-276.849;0
443669;1000;-275.836;0
508022;1000;-274.825;0
581709;1000;-273.81;0
666085;1000;-272.785;0
762699;1000;-271.747;0
873326;1000;-270.693;0
1e+06;1000;-269.622;0
1;1000;-1.9256;0
1.14505;1000;-1.92562;0
1.31113;1000;-1.92564;0
1.50131;1000;-1.92567;0
1.71907;1000;-1.92571;0
1.96842;1000;-1.92576;0
2.25393;1000;-1.92583;0
2.58086;1000;-1.92592;0
2.95521;1000;-1.92604;0
3.38386;1000;-1.92619;0
3.87468;1000;-1.92639;0
4.43669;1000;-1.92666;0
5.08022;1000;-1.92701;0
5.81709;1000;-1.92746;0
6.66085;1000;-1.92806;0
7.62699;1000;-1.92884;0
8.73326;1000;-1.92987;0
10;1000;-1.93121;0
11.4505;1000;-1.93298;0
13.1113;1000;-1.93529;0
15.0131;1000;-1.93832;0
17.1907;1000;-1.94229;0
19.6842;1000;-1.94749;0
22.5393;1000;-1.95431;0
25.8086;1000;-1.96323;0
29.5521;1000;-1.97491;0
33.8386;1000;-1.99019;0
38.7468;1000;-2.01016;0
44.3669;1000;-2.03625;0
50.8022;1000;-2.0703;0
58.1709;1000;-2.11465;0
66.6085;1000;-2.17233;0
76.2699;1000;-2.24715;0
87.3326;1000;-2.34391;0
100;1000;-2.46856;0
114.505;1000;-2.62839;0
131.113;1000;-2.83213;0
150.131;1000;-3.09002;0
171.907;1000;-3.41382;0
196.842;1000;-3.81667;0
225.393;1000;-4.31295;0
258.086;1000;-4.91829;0
295.521;1000;-5.6499;0
338.386;1000;-6.5279;0
387.468;1000;-7.57798;0
443.669;1000;-8.83694;0
508.022;1000;-10.3632;0
581.709;1000;-12.259;0
666.085;1000;-14.7237;0
762.699;1000;-18.2169;0
873.326;1000;-24.2299;0
1000;1000;-64.4903;0
1145.05;1000;-23.9357;0
1311.13;1000;-17.8781;0
1501.31;1000;-14.2868;0
1719.07;1000;-11.7121;0
1968.42;1000;-9.70263;0
2253.93;1000;-8.06164;0
2580.86;1000;-6.68808;0
2955.21;1000;-5.52459;0
3383.86;1000;-4.53585;0
3874.68;1000;-3.69799;0
4436.69;1000;-2.99293;0
5080.22;1000;-2.40531;0
5817.09;1000;-1.92089;0
6660.85;1000;-1.52604;0
7626.99;1000;-1.20764;0
8733.26;1000;-0.953438;0
10000;1000;-0.752235;0
11450.5;1000;-0.59416;0
13111.3;1000;-0.470732;0
15013.1;1000;-0.374839;0
17190.7;1000;-0.300639;0
19684.2;1000;-0.243407;0
22539.3;1000;-0.19937;0
25808.6;1000;-0.165551;0
29552.1;1000;-0.139613;0
33838.6;1000;-0.119738;0
38746.8;1000;-0.104513;0
44366.9;1000;-0.0928478;0
50802.2;1000;-0.083901;0
58170.9;1000;-0.0770234;0
66608.5;1000;-0.0717141;0
76269.9;1000;-0.0675857;0
87332.6;1000;-0.0643364;0
100000;1000;-0.0617296;0
114505;1000;-0.0595764;0
131113;1000;-0.0577231;0
150131;1000;-0.0560411;0
171907;1000;-0.0544195;0
196842;1000;-0.0527602;0
225393;1000;-0.0509747;0
258086;1000;-0.0489842;0
295521;1000;-0.0467225;0
338386;1000;-0.0441412;0
387468;1000;-0.0412174;0
443669;1000;-0.0379615;0
508022;1000;-0.0344226;0
581709;1000;-0.0306879;0
666085;1000;-0.0268746;0
762699;1000;-0.0231144;0
873326;1000;-0.0195339;0
1e+06;1000;-0.0162378;0
1;1000;-1.92579;0
1.14505;1000;-1.92581;0
1.31113;1000;-1.92583;0
1.50131;1000;-1.92586;0
1.71907;1000;-1.9259;0
1.96842;1000;-1.92596;0
2.25393;1000;-1.92602;0
2.58086;1000;-1.92611;0
2.95521;1000;-1.92623;0
3.38386;1000;-1.92639;0
3.87468;1000;-1.92659;0
4.43669;1000;-1.92685;0
5.08022;1000;-1.9272;0
5.81709;1000;-1.92766;0
6.66085;1000;-1.92825;0
7.62699;1000;-1.92904;0
8.73326;1000;-1.93006;0
10;1000;-1.93141;0
11.4505;1000;-1.93318;0
13.1113;1000;-1.93549;0
15.0131;1000;-1.93852;0
17.1907;1000;-1.94249;0
19.6842;1000;-1.9477;0
22.5393;1000;-1.95451;0
25.8086;1000;-1.96344;0
29.5521;1000;-1.97512;0
33.8386;1000;-1.99041;0
38.7468;1000;-2.01039;0
44.3669;1000;-2.0365;0
50.8022;1000;-2.07055;0
58.1709;1000;-2.11493;0
66.6085;1000;-2.17263;0
76.2699;1000;-2.24747;0
87.3326;1000;-2.34427;0
100;1000;-2.46898;0
114.505;1000;-2.62887;0
131.113;1000;-2.83268;0
150.131;1000;-3.09066;0
171.907;1000;-3.41457;0
196.842;1000;-3.81754;0
225.393;1000;-4.31396;0
258.086;1000;-4.91944;0
295.521;1000;-5.65121;0
338.386;1000;-6.52937;0
387.468;1000;-7.57962;0
443.669;1000;-8.83873;0
508.022;1000;-10.3652;0
581.709;1000;-12.2611;0
666.085;1000;-14.7259;0
762.699;1000;-18.2193;0
873.326;1000;-24.2325;0
1000;1000;-64.4902;0
1145.05;1000;-23.9386;0
1311.13;1000;-17.8812;0
1501.31;1000;-14.2902;0
1719.07;1000;-11.7158;0
1968.42;1000;-9.70676;0
2253.93;1000;-8.0662;0
2580.86;1000;-6.69313;0
2955.21;1000;-5.53018;0
3383.86;1000;-4.54202;0
3874.68;1000;-3.70475;0
4436.69;1000;-3.00029;0
5080.22;1000;-2.41323;0
5817.09;1000;-1.92935;0
6660.85;1000;-1.53497;0
7626.99;1000;-1.21699;0
8733.26;1000;-0.963138;0
10000;1000;-0.762228;0
11450.5;1000;-0.604391;0
13111.3;1000;-0.481153;0
15013.1;1000;-0.38541;0
17190.7;1000;-0.311326;0
19684.2;1000;-0.25418;0
22539.3;1000;-0.210206;0
25808.6;1000;-0.176429;0
29552.1;1000;-0.150516;0
33838.6;1000;-0.130648;0
38746.8;1000;-0.115414;0
44366.9;1000;-0.103724;0
50802.2;1000;-0.0947339;0
58170.9;1000;-0.0877912;0
66608.5;1000;-0.0823911;0
76269.9;1000;-0.0781402;0
87332.6;1000;-0.0747293;0
100000;1000;-0.071912;0
114505;1000;-0.069488;0
131113;1000;-0.0672901;0
150131;1000;-0.065175;0
171907;1000;-0.0630168;0
196842;1000;-0.0607038;0
225393;1000;-0.058139;0
258086;1000;-0.0552437;0
295521;1000;-0.0519651;0
338386;1000;-0.0482849;0
387468;1000;-0.0442286;0
443669;1000;-0.0398693;0
508022;1000;-0.035324;0
581709;1000;-0.0307406;0
666085;1000;-0.0262769;0
762699;1000;-0.0220773;0
873326;1000;-0.0182542;0
1e+06;1000;-0.0148773;0
1;60;-27.9725;0
1.14505;60;-27.9725;0
1.31113;60;-27.9725;0
1.50131;60;-27.9725;0
1.71907;60;-27.9725;0
1.96842;60;-27.9725;0
2.25393;60;-27.9726;0
2.58086;60;-27.9726;0
2.95521;60;-27.9727;0
3.38386;60;-27.9727;0
3.87468;60;-27.9728;0
4.43669;60;-27.973;0
5.08022;60;-27.9731;0
5.81709;60;-27.9734;0
6.66085;60;-27.9736;0
7.62699;60;-27.974;0
8.73326;60;-27.9745;0
10;60;-27.9751;0
11.4505;60;-27.976;0
13.1113;60;-27.9771;0
15.0131;60;-27.9785;0
17.1907;60;-27.9804;0
19.6842;60;-27.9829;0
22.5393;60;-27.9861;0
25.8086;60;-27.9904;0
29.5521;60;-27.996;0
33.8386;60;-28.0033;0
38.7468;60;-28.0129;0
44.3669;60;-28.0254;0
50.8022;60;-28.0418;0
58.1709;60;-28.0633;0
66.6085;60;-28.0913;0
76.2699;60;-28.1279;0
87.3326;60;-28.1757;0
100;60;-28.2379;0
114.505;60;-28.3187;0
131.113;60;-28.4235;0
150.131;60;-28.5589;0
171.907;60;-28.7332;0
196.842;60;-28.9567;0
225.393;60;-29.2419;0
258.086;60;-29.6038;0
295.521;60;-30.0607;0
338.386;60;-30.6352;0
387.468;60;-31.3564;0
443.669;60;-32.2645;0
508.022;60;-33.4203;0
581.709;60;-34.9268;0
666.085;60;-36.9821;0
762.699;60;-40.0432;0
873.326;60;-45.5984;0
1000;60;-85.3721;0
1145.05;60;-44.3008;0
1311.13;60;-37.697;0
1501.31;60;-33.5321;0
1719.07;60;-30.3593;0
1968.42;60;-27.7298;0
2253.93;60;-25.4482;0
2580.86;60;-23.4126;0
2955.21;60;-21.5629;0
3383.86;60;-19.8598;0
3874.68;60;-18.2755;0
4436.69;60;-16.7891;0
5080.22;60;-15.3845;0
5817.09;60;-14.0496;0
6660.85;60;-12.7755;0
7626.99;60;-11.5566;0
8733.26;60;-10.3898;0
10000;60;-9.2746;0
11450.5;60;-8.21278;0
13111.3;60;-7.208;0
15013.1;60;-6.26534;0
17190.7;60;-5.3906;0
19684.2;60;-4.58952;0
22539.3;60;-3.86691;0
25808.6;60;-3.2258;0
29552.1;60;-2.66684;0
33838.6;60;-2.188;0
38746.8;60;-1.78474;0
44366.9;60;-1.45052;0
50802.2;60;-1.17748;0
58170.9;60;-0.957208;0
66608.5;60;-0.781377;0
76269.9;60;-0.642214;0
87332.6;60;-0.532784;0
100000;60;-0.44711;0
114505;60;-0.380169;0
131113;60;-0.327822;0
150131;60;-0.286705;0
171907;60;-0.254104;0
196842;60;-0.227846;0
225393;60;-0.206192;0
258086;60;-0.187757;0
295521;60;-0.171454;0
338386;60;-0.156449;0
387468;60;-0.142141;0
443669;60;-0.128152;0
508022;60;-0.114311;0
581709;60;-0.100639;0
666085;60;-0.0873007;0
762699;60;-0.0745523;0
873326;60;-0.0626696;0
1e+06;60;-0.051889;0
1;60;-27.9733;0
1.14505;60;-27.9734;0
1.31113;60;-27.9734;0
1.50131;60;-27.9734;0
1.71907;60;-27.9734;0
1.96842;60;-27.9734;0
2.25393;60;-27.9735;0
2.58086;60;-27.9735;0
2.95521;60;-27.9736;0
3.38386;60;-27.9736;0
3.87468;60;-27.9737;0
4.43669;60;-27.9739;0
5.08022;60;-27.974;0
5.81709;60;-27.9742;0
6.66085;60;-27.9745;0
7.62699;60;-27.9749;0
8.73326;60;-27.9754;0
10;60;-27.976;0
11.4505;60;-27.9769;0
13.1113;60;-27.978;0
15.0131;60;-27.9794;0
17.1907;60;-27.9813;0
19.6842;60;-27.9838;0
22.5393;60;-27.987;0
25.8086;60;-27.9913;0
29.5521;60;-27.9969;0
33.8386;60;-28.0042;0
38.7468;60;-28.0138;0
44.3669;60;-28.0263;0
50.8022;60;-28.0427;0
58.1709;60;-28.0642;0
66.6085;60;-28.0922;0
76.2699;60;-28.1289;0
87.3326;60;-28.1766;0
100;60;-28.2388;0
114.505;60;-28.3197;0
131.113;60;-28.4245;0
150.131;60;-28.5599;0
171.907;60;-28.7343;0
196.842;60;-28.9579;0
225.393;60;-29.2431;0
258.086;60;-29.6051;0
295.521;60;-30.0621;0
338.386;60;-30.6367;0
387.468;60;-31.358;0
443.669;60;-32.2663;0
508.022;60;-33.4222;0
581.709;60;-34.9289;0
666.085;60;-36.9843;0
762.699;60;-40.0456;0
873.326;60;-45.601;0
1000;60;-85.372;0
1145.05;60;-44.3037;0
1311.13;60;-37.7001;0
1501.31;60;-33.5355;0
1719.07;60;-30.3629;0
1968.42;60;-27.7337;0
2253.93;60;-25.4523;0
2580.86;60;-23.417;0
2955.21;60;-21.5675;0
3383.86;60;-19.8648;0
3874.68;60;-18.2808;0
4436.69;60;-16.7947;0
5080.22;60;-15.3904;0
5817.09;60;-14.0559;0
6660.85;60;-12.7824;0
7626.99;60;-11.5641;0
8733.26;60;-10.3979;0
10000;60;-9.28355;0
11450.5;60;-8.22273;0
13111.3;60;-7.21915;0
15013.1;60;-6.27788;0
17190.7;60;-5.4047;0
19684.2;60;-4.60536;0
22539.3;60;-3.88461;0
25808.6;60;-3.24542;0
29552.1;60;-2.68835;0
33838.6;60;-2.21132;0
38746.8;60;-1.80972;0
44366.9;60;-1.47695;0
50802.2;60;-1.20512;0
58170.9;60;-0.985806;0
66608.5;60;-0.810665;0
76269.9;60;-0.671925;0
87332.6;60;-0.562651;0
100000;60;-0.476857;0
114505;60;-0.409509;0
131113;60;-0.356448;0
150131;60;-0.314281;0
171907;60;-0.280265;0
196842;60;-0.252196;0
225393;60;-0.228316;0
258086;60;-0.207248;0
295521;60;-0.187945;0
338386;60;-0.169666;0
387468;60;-0.151956;0
443669;60;-0.134625;0
508022;60;-0.11771;0
581709;60;-0.101418;0
666085;60;-0.086044;0
762699;60;-0.0718893;0
873326;60;-0.0591938;0
1e+06;60;-0.0480951;0
