Device,Model,Id (uA),Vgs (V),Vth (V),Vds (V),Vdsat (V),gm (uA/V),gds (uA/V),Region
M1,pmos_350,-17.82,-0.75,-0.70,-2.25,-0.80,44.56,0.80,Saturation
M2,pmos_350,-17.82,-0.75,-0.70,-2.25,-0.80,44.55,0.80,Saturation
M3,nmos_350,19.65,1.16,0.70,1.90,0.46,84.84,0.73,Saturation
M4,nmos_350,19.70,1.16,0.70,1.97,0.46,85.06,0.73,Saturation
M5,pmos_350,-40.73,0.07,-0.70,-0.84,-0.22,376.13,1.95,Saturation
M6,pmos_350,-40.86,0.01,-0.70,-0.91,-0.22,377.38,1.95,Saturation
M7,pmos_350,-21.02,0.89,-0.70,-0.11,-0.29,88.21,156.58,Linear
M8,pmos_350,-21.21,0.18,-0.70,-0.74,-0.22,191.45,1.02,Saturation
M9,nmos_350,21.02,0.91,0.70,1.45,0.21,204.98,0.79,Saturation
M10,nmos_350,21.02,0.91,0.70,0.75,0.21,202.22,0.82,Saturation
M11,nmos_350,38.84,0.90,0.70,0.90,0.20,389.90,1.50,Saturation
M12,nmos_350,38.84,0.90,0.70,0.90,0.20,389.86,1.50,Saturation
M13,nmos_350,20.00,0.90,0.70,0.90,0.20,197.84,0.77,Saturation
M14,nmos_350,20.00,0.90,0.70,0.90,0.20,197.84,0.77,Saturation
M15,pmos_350,-20.44,0.00,-0.70,-0.92,-0.22,188.74,0.98,Saturation
M16,pmos_350,-20.44,0.00,-0.70,-0.92,-0.22,188.74,0.98,Saturation
M17,nmos_350,20.44,0.90,0.70,1.47,0.20,202.15,0.77,Saturation
MX2,pmos_350,-35.65,0.77,-0.70,-0.15,-0.22,251.74,113.66,Linear
MX3,nmos_350,39.36,0.90,0.70,0.49,0.20,389.34,1.54,Saturation